Niabrara,Rakaia,Tagliamento
63,184,163
32,107,137
69,121,186
101,146,175
56,101,171
112,140,155
58,114,180
90,181,149
64,124,183
25,183,227
33,86,182
59,133,160
25,136,180
6,150,194
85,190,174
351,122,203
73,190,155
125,140,173
34,162,189
96,119,239
65,176,189
64,177,171
118,150,151
28,126,205
86,174,233
59,178,226
89,122,222
67,190,144
31,214,200
110,208,156
117,161,170
56,129,147
38,157,142
54,106,192
98,172,149
116,127,180
56,204,207
62,101,211
74,179,203
30,101,185
354,157,165
38,105,190
69,190,174
16,62,159
22,136,176
74,176,158
9,89,177
40,181,175
28,82,173
82,207,163
89,218,167
124,140,204
57,158,161
127,180,223
69,102,207
35,133,202
28,178,186
8,107,142
48,119,177
39,85,187
89,188,202
67,133,197
76,126,148
9,125,177
112,142,181
114,189,174
38,121,175
73,108,210
117,139,184
96,195,173
107,133,199
100,135,166
73,148,190
110,94,173
72,110,167
91,148,231
98,155,211
53,125,205
107,127,175
106,170,212
66,207,227
122,97,170
83,107,218
95,100,152
120,125,218
78,115,206
91,110,168
61,64,152
118,99,161
114,123,183
110,178,181
78,151,169
121,158,159
59,140,133
87,97,119
42,90,180
70,167,202
52,199,199
79,142,221
80,128,168
59,86,190
94,56,192
124,90,145
122,129,180
103,119,183
110,101,159
91,125,205
49,123,170
136,102,185
95,88,160
42,87,203
132,72,169
108,64,176
64,106,117
117,92,223
99,55,186
129,87,147
91,106,166
87,124,204
143,90,168
81,171,201
171,125,197
96,155,151
118,126,178
88,170,168
62,150,157
139,124,198
76,104,194
137,91,158
131,76,161
91,105,200
127,131,219
48,186,163
85,149,198
119,151,172
94,121,150
99,110,198
55,128,168
105,111,226
81,91,163
119,108,185
136,156,204
120,103,178
152,62,184
145,127,198
131,154,156
86,92,207
118,99,140
135,78,150
92,134,195
121,152,199
140,168,178
107,148,202
109,154,202
99,175,186
92,100,173
71,152,217
57,113,156
106,155,214
140,170,210
141,156,168
141,89,176
192,141,205
109,90,168
152,120,189
100,125,174
127,158,212
128,96,189
66,144,143
176,111,181
141,147,253
108,155,204
217,172,183
147,108,180
122,172,228
100,111,195
132,150,177
139,112,177
89,110,248
112,113,198
87,74,121
119,86,181
155,118,179
87,149,200
157,171,167
74,165,197
105,82,177
128,143,186
106,169,176
108,123,202
140,163,152
162,96,165
176,138,202
124,113,240
109,123,177
201,142,199
166,88,166
183,101,214
158,121,187
128,124,210
162,172,146
187,161,193
172,92,182
144,99,186
191,132,177
132,147,181
93,128,195
126,148,193
61,77,175
49,116,211
108,131,151
85,108,191
107,85,153
106,142,170
89,117,230
156,131,222
105,182,188
118,128,256
143,105,164
90,127,189
112,148,188
65,121,225
13,151,185
26,174,233
56,162,180
59,132,210
93,127,193
107,112,168
78,91,64
101,112,214
45,128,226
70,140,211
99,147,179
84,121,236
117,118,202
68,97,172
107,62,212
124,100,236
131,135,196
98,116,214
48,71,234
114,64,178
84,91,200
131,116,214
62,107,224
76,97,185
100,92,224
98,96,230
83,62,203
106,77,224
103,86,177
106,117,203
121,62,172
86,54,221
54,119,193
79,84,183
126,72,170
55,104,201
110,90,172
59,72,212
126,53,237
142,40,222
120,59,245
139,78,261
105,95,242
108,114,261
123,104,272
103,118,274
138,104,253
86,71,234
78,92,222
