Niabrara,Rakaia,Tagliamento
0.734,0.761,0.776
0.708,0.739,0.753
0.687,0.728,0.746
0.686,0.723,0.748
0.68,0.724,0.741
0.68,0.718,0.74
0.68,0.726,0.737
0.675,0.72,0.734
0.677,0.715,0.735
0.678,0.715,0.738
0.674,0.716,0.739
0.674,0.717,0.734
0.679,0.719,0.735
0.681,0.713,0.737
0.67,0.712,0.737
0.676,0.713,0.733
0.674,0.715,0.735
0.673,0.716,0.735
0.676,0.715,0.732
0.674,0.717,0.734
0.672,0.714,0.732
0.673,0.714,0.733
0.675,0.714,0.732
0.674,0.714,0.733
0.673,0.714,0.735
0.672,0.715,0.732
0.671,0.715,0.733
0.672,0.715,0.732
0.674,0.715,0.731
0.672,0.713,0.733
0.674,0.712,0.734
0.672,0.712,0.734
0.673,0.714,0.733
0.673,0.711,0.731
0.672,0.712,0.732
0.672,0.712,0.732
0.675,0.713,0.731
0.674,0.713,0.733
0.671,0.713,0.733
0.673,0.714,0.732
0.672,0.711,0.732
0.673,0.711,0.733
0.672,0.712,0.73
0.671,0.712,0.732
0.673,0.713,0.731
0.673,0.713,0.732
0.673,0.714,0.731
0.671,0.713,0.732
0.671,0.712,0.733
0.672,0.712,0.733
0.673,0.712,0.732
0.672,0.713,0.731
0.673,0.712,0.732
0.67,0.712,0.732
0.673,0.714,0.731
0.672,0.712,0.731
0.672,0.711,0.732
0.672,0.713,0.733
0.673,0.713,0.731
0.672,0.714,0.732
0.672,0.713,0.732
0.672,0.711,0.732
0.673,0.712,0.731
0.672,0.712,0.732
0.672,0.71,0.734
0.671,0.713,0.732
0.671,0.713,0.73
0.671,0.713,0.731
0.671,0.713,0.731
0.672,0.711,0.732
0.672,0.712,0.732
0.672,0.713,0.732
0.671,0.712,0.732
0.671,0.713,0.731
0.673,0.713,0.732
0.673,0.711,0.732
0.671,0.712,0.732
0.671,0.713,0.731
0.672,0.712,0.732
0.673,0.713,0.732
0.671,0.712,0.732
0.67,0.713,0.732
0.671,0.712,0.731
0.672,0.713,0.732
0.672,0.713,0.731
0.672,0.712,0.731
0.67,0.713,0.732
0.672,0.712,0.732
0.67,0.712,0.732
0.672,0.712,0.731
0.672,0.713,0.732
0.671,0.712,0.732
0.671,0.713,0.731
0.671,0.713,0.732
0.671,0.713,0.732
0.672,0.712,0.731
0.672,0.712,0.731
0.672,0.712,0.732
0.67,0.712,0.731
0.672,0.712,0.731
0.67,0.712,0.732
0.671,0.712,0.731
0.671,0.713,0.732
0.672,0.712,0.731
0.672,0.712,0.732
0.672,0.711,0.731
0.673,0.713,0.731
0.672,0.712,0.732
0.67,0.712,0.73
0.672,0.711,0.731
0.672,0.711,0.732
0.672,0.713,0.731
0.671,0.713,0.731
0.672,0.712,0.732
0.672,0.712,0.732
0.672,0.713,0.733
0.671,0.713,0.731
0.672,0.713,0.731
0.672,0.712,0.732
0.671,0.712,0.731
0.672,0.713,0.732
0.672,0.712,0.731
0.671,0.713,0.731
0.67,0.712,0.73
0.672,0.712,0.731
0.672,0.713,0.732
0.671,0.712,0.732
0.671,0.711,0.731
0.672,0.712,0.731
0.672,0.712,0.732
0.672,0.712,0.73
0.671,0.713,0.731
0.672,0.713,0.73
0.671,0.712,0.73
0.671,0.713,0.731
0.672,0.713,0.732
0.671,0.712,0.731
0.672,0.713,0.731
0.672,0.713,0.731
0.671,0.712,0.731
0.671,0.712,0.732
0.671,0.713,0.732
0.672,0.712,0.731
0.671,0.712,0.731
0.672,0.713,0.731
0.671,0.712,0.731
0.671,0.712,0.731
0.671,0.712,0.732
0.672,0.712,0.73
0.671,0.712,0.731
0.671,0.713,0.732
0.672,0.712,0.732
0.67,0.712,0.731
0.673,0.712,0.732
0.671,0.713,0.731
0.672,0.712,0.731
0.672,0.713,0.732
0.671,0.712,0.731
0.671,0.712,0.731
0.67,0.712,0.731
0.672,0.712,0.732
0.672,0.712,0.732
0.671,0.712,0.731
0.672,0.712,0.731
0.67,0.712,0.732
0.67,0.713,0.731
0.672,0.712,0.732
0.672,0.712,0.731
0.672,0.712,0.731
0.671,0.712,0.731
0.672,0.712,0.731
0.671,0.712,0.731
0.672,0.712,0.731
0.671,0.713,0.731
0.672,0.712,0.731
0.671,0.711,0.731
0.671,0.711,0.731
0.672,0.713,0.731
0.672,0.712,0.731
0.672,0.712,0.73
0.672,0.712,0.731
0.672,0.712,0.731
0.671,0.712,0.731
0.671,0.712,0.731
0.672,0.712,0.732
0.671,0.712,0.731
0.672,0.712,0.731
0.672,0.712,0.731
0.672,0.712,0.731
0.672,0.711,0.731
0.672,0.712,0.731
0.671,0.712,0.731
0.671,0.712,0.731
0.671,0.712,0.731
0.672,0.711,0.731
0.671,0.712,0.731
0.671,0.712,0.731
0.672,0.712,0.732
0.671,0.712,0.731
0.672,0.712,0.731
