Yukon,Tagliomento Transition,Piave,Ganges 1,Gandak,Ghaghara,Athabasca,Athabasca 2,Ucayali Anastomosing,Kasai ,Sungai Pomats Tributary,Strickland
199,124,130,100,173,94,320,71,210,331,301,184
258,128,112,103,179,88,293,81,212,316,290,184
171,122,112,83,173,117,289,100,215,327,274,193
203,104,127,54,171,141,282,118,218,349,273,197
249,92,131,59,162,150,280,147,225,32,232,187
218,85,135,79,126,141,268,145,246,17,257,140
263,84,135,106,149,126,278,119,274,352,257,151
227,78,120,123,174,100,301,100,282,315,260,164
188,79,122,67,127,95,300,80,293,18,251,189
221,32,130,62,117,103,298,52,312,54,275,205
250,52,150,58,86,100,300,108,336,47,295,177
286,75,181,42,101,119,298,145,339,359,313,147
309,92,162,31,118,146,312,119,341,6,273,173
339,122,131,5,142,129,312,149,338,7,258,279
12,136,128,60,56,108,314,171,345,313,240,320
39,155,118,91,74,100,330,62,330,2,274,355
5,157,100,116,64,123,346,37,322,32,243,296
313,148,77,115,51,106,8,34,272,356,213,220
306,168,66,103,78,65,19,51,294,28,265,179
270,177,108,85,148,22,333,75,341,7,279,163
243,177,131,111,119,53,18,76,28,345,273,193
200,160,135,136,89,64,356,91,296,327,259,207
184,148,152,155,68,73,333,106,226,326,241,212
181,135,169,141,105,20,291,110,239,23,212,186
211,122,182,121,148,11,301,102,282,359,166,158
245,138,194,170,139,73,338,90,310,345,188,195
219,137,184,121,108,82,328,108,269,352,189,233
185,208,175,97,80,72,297,132,335,359,208,277
177,82,161,94,74,71,290,124,280,22,206,235
198,132,145,97,121,91,302,86,292,65,206,191
224,107,140,92,114,73,289,57,298,43,223,178
258,129,150,74,114,48,269,86,271,84,214,152
281,135,164,82,141,77,255,109,336,26,202,152
314,145,190,81,160,38,280,113,315,350,163,144
346,136,214,36,140,125,281,118,253,345,221,187
15,96,224,107,112,57,286,96,287,357,212,180
38,105,170,114,82,92,296,79,249,341,199,177
352,111,137,105,38,42,302,62,269,342,209,164
340,157,139,84,15,48,311,88,262,2,255,134
347,143,133,50,47,72,329,93,314,334,238,123
332,92,127,75,76,87,316,96,346,310,286,114
304,136,131,100,128,86,325,103,312,346,229,103
274,100,137,74,151,83,315,115,334,365,233,125
226,133,143,88,173,80,309,129,353,359,227,170
256,140,165,134,185,85,292,116,325,56,221,203
269,117,186,74,172,85,299,95,317,26,221,220
278,146,204,77,169,65,314,77,302,7,197,202
284,115,238,40,149,120,326,62,284,358,168,172
287,143,217,64,125,92,336,56,273,335,182,138
281,71,190,91,102,64,343,71,249,325,197,160
270,35,183,113,74,61,4,52,257,348,183,146
253,22,167,113,71,127,301,55,267,293,164,161
234,88,151,87,89,81,344,62,285,299,148,182
219,130,142,125,111,101,2,77,294,305,154,163
239,113,150,109,127,96,27,91,295,318,179,133
268,138,164,90,105,110,329,70,260,337,209,86
261,162,177,130,80,129,7,23,268,327,240,124
242,186,163,118,52,158,348,87,279,334,273,152
246,220,147,99,91,180,357,135,296,357,253,133
260,209,130,92,131,170,9,56,322,345,228,111
277,196,128,88,159,157,33,11,333,342,209,95
313,181,119,73,130,143,342,350,328,329,197,89
316,160,91,65,134,133,16,346,270,309,213,76
300,170,73,33,91,127,14,41,287,331,193,110
268,166,70,5,100,105,1,71,326,351,188,130
248,117,84,15,171,65,17,110,284,343,180,158
