Yukon,Tagliomento Transition,Piave,Ganges 1,Gandak,Ghaghara
199,124,130,100,173,94
258,128,112,103,179,88
171,122,112,83,173,117
203,104,127,54,171,141
249,92,131,59,162,150
218,85,135,79,126,141
263,84,135,106,149,126
227,78,120,123,174,100
188,79,122,67,127,95
221,32,130,62,117,103
250,52,150,58,86,100
286,75,181,42,101,119
309,92,162,31,118,146
339,122,131,5,142,129
12,136,128,60,56,108
39,155,118,91,74,100
5,157,100,116,64,123
313,148,77,115,51,106
306,168,66,103,78,65
270,177,108,85,148,22
243,177,131,111,119,53
200,160,135,136,89,64
184,148,152,155,68,73
181,135,169,141,105,20
211,122,182,121,148,11
245,138,194,170,139,73
219,137,184,121,108,82
185,208,175,97,80,72
177,82,161,94,74,71
198,132,145,97,121,91
224,107,140,92,114,73
258,129,150,74,114,48
281,135,164,82,141,77
314,145,190,81,160,38
346,136,214,36,140,125
15,96,224,107,112,57
38,105,170,114,82,92
352,111,137,105,38,42
340,157,139,84,15,48
347,143,133,50,47,72
332,92,127,75,76,87
304,136,131,100,128,86
274,100,137,74,151,83
226,133,143,88,173,80
256,140,165,134,185,85
269,117,186,74,172,85
278,146,204,77,169,65
284,115,238,40,149,120
287,143,217,64,125,92
281,71,190,91,102,64
270,35,183,113,74,61
253,22,167,113,71,127
234,88,151,87,89,81
219,130,142,125,111,101
239,113,150,109,127,96
268,138,164,90,105,110
261,162,177,130,80,129
242,186,163,118,52,158
246,220,147,99,91,180
260,209,130,92,131,170
277,196,128,88,159,157
313,181,119,73,130,143
316,160,91,65,134,133
300,170,73,33,91,127
268,166,70,5,100,105
248,117,84,15,171,65
222,127,106,24,122,69
230,139,114,37,158,83
172,143,124,39,132,87
113,154,126,62,151,90
147,168,132,45,164,108
307,183,148,35,89,100
302,184,161,25,138,94
324,201,174,20,169,79
295,166,193,6,180,16
256,111,215,2,188,83
243,149,233,355,168,115
322,129,233,343,166,139
267,114,206,343,141,89
238,124,190,2,122,64
195,154,176,15,97,42
170,140,161,25,78,30
198,132,134,39,98,21
254,120,125,51,145,46
272,129,128,57,215,74
304,142,124,62,151,107
248,145,128,81,77,121
240,152,121,102,99,142
214,159,155,117,128,116
199,169,165,138,108,85
224,176,129,155,86,130
249,189,139,167,35,98
268,187,135,192,19,72
274,188,124,174,47,46
314,178,118,142,101,332
298,175,98,162,65,25
284,184,90,148,61,89
269,223,84,132,52,80
267,232,132,138,36,15
275,243,130,143,84,81
299,254,149,148,63,49
282,261,142,160,25,25
263,291,118,166,74,17
235,247,121,156,49,45
323,220,123,136,147,73
274,204,114,121,8,95
274,178,135,102,58,113
