Yukon,Kasai 
199,331
258,316
171,327
203,349
249,32
218,17
263,352
227,315
188,18
221,54
250,47
286,359
309,6
339,7
12,313
39,2
5,32
313,356
306,28
270,7
243,345
200,327
184,326
181,23
211,359
245,345
219,352
185,359
177,22
198,65
224,43
258,84
281,26
314,350
346,345
15,357
38,341
352,342
340,2
347,334
332,310
304,346
274,365
226,359
256,56
269,26
278,7
284,358
287,335
281,325
270,348
253,293
234,299
219,305
239,318
268,337
261,327
242,334
246,357
260,345
277,342
313,329
316,309
300,331
268,351
248,343
222,313
230,4
172,305
113,341
147,308
307,300
302,339
324,353
295,317
256,308
243,9
322,345
267,333
238,338
195,308
170,353
198,307
254,354
272,351
304,17
248,322
240,354
214,354
199,330
224,321
249,1
268,46
274,332
314,310
298,317
284,345
269,359
267,24
275,342
299,325
282,348
263,22
235,326
323,353
274,295
274,336
241,327
274,328
315,359
327,323
273,324
283,338
234,11
278,349
289,7
314,34
281,28
241,11
286,304
268,23
259,358
242,6
226,30
234,342
222,13
203,45
241,41
301,22
284,355
266,339
252,354
224,328
202,326
219,349
247,19
267,40
296,10
202,44
239,9
269,16
217,47
228,14
215,340
204,3
180,0
167,29
155,22
151,11
163,12
250,356
220,53
200,339
286,5
222,44
271,324
230,347
221,7
260,21
263,52
208,69
213,74
202,353
187,15
165,12
148,11
156,22
168,358
207,30
243,348
278,335
267,318
225,14
248,359
288,342
251,306
339,319
295,347
292,315
314,317
338,318
11,332
314,330
265,342
201,286
168,344
188,325
248,312
290,302
339,357
314,340
296,325
281,307
264,282
234,252
231,236
203,293
171,308
134,302
99,307
116,310
133,335
152,352
226,316
266,300
275,336
285,306
267,299
248,307
210,317
182,301
133,305
153,318
177,0
209,355
214,319
171,296
230,347
260,327
175,332
252,289
125,296
121,269
172,319
211,298
221,350
237,335
258,318
263,331
277,338
270,314
283,326
290,291
272,315
254,263
221,282
182,307
138,280
151,19
169,335
192,311
224,277
218,311
265,343
177,306
252,306
251,340
307,316
269,305
284,328
