Mississippi,Okanvango,Owens
129,175,99
185,147,60
194,91,20
179,38,79
161,117,113
195,152,141
200,181,160
226,223,189
255,164,232
278,123,196
308,80,174
356,59,155
317,110,132
296,139,104
265,101,78
241,59,44
203,11,22
187,76,54
221,132,94
251,171,134
291,216,159
343,183,188
18,152,142
3,114,93
335,80,70
311,22,137
279,339,89
248,13,141
221,72,97
193,127,69
168,183,21
141,224,350
229,202,67
182,175,122
141,133,171
163,66,126
194,105,90
230,162,62
278,227,11
257,193,330
217,144,319
202,90,9
159,115,34
119,173,63
147,230,91
189,266,122
213,199,157
242,152,162
261,205,190
285,271,174
271,293,143
250,212,93
222,160,66
187,188,35
172,151,78
143,196,114
150,241,170
178,279,222
192,326,180
242,267,120
192,217,53
131,153,355
135,193,275
165,134,309
175,95,353
194,126,46
228,201,358
265,182,317
302,121,1
292,180,20
296,165,69
248,214,98
211,302,123
182,224,101
296,169,77
276,98,40
236,152,17
189,213,341
325,183,302
265,135,348
247,202,26
202,170,74
178,129,129
150,170,94
131,206,85
118,167,7
161,129,51
181,75,351
230,125,43
202,94,354
155,137,55
175,169,110
204,212,90
274,272,43
339,234,65
11,187,106
324,125,17
292,160,355
268,206,22
227,184,61
183,160,97
141,103,133
1,139,155
59,240,91
12,151,42
335,105,97
272,60,119
231,123,172
173,230,241
162,157,189
204,119,147
140,165,63
120,133,358
88,70,39
102,162,85
145,111,124
189,175,159
227,222,106
265,178,163
321,132,126
1,90,181
48,47,205
327,137,128
138,203,92
175,272,37
239,308,3
243,324,336
205,272,23
153,233,64
189,280,105
265,241,111
319,197,79
8,214,16
45,198,87
2,262,56
280,194,4
247,165,39
189,135,87
132,175,111
163,231,147
200,255,99
261,188,65
288,254,5
245,307,343
195,234,37
284,149,75
320,169,52
349,114,108
276,84,158
236,36,125
191,355,49
140,18,4
119,352,41
73,62,101
121,116,143
192,161,185
217,190,157
264,227,110
305,210,62
317,275,94
233,258,53
199,208,356
168,166,32
137,115,91
84,154,111
103,220,73
147,204,128
211,248,149
180,302,185
222,2,238
264,28,202
280,320,167
270,258,130
225,233,95
177,182,61
105,131,44
138,193,97
180,257,129
219,198,97
133,151,79
112,90,131
135,46,203
194,80,118
248,106,26
294,149,345
261,172,35
232,212,69
191,268,123
135,202,97
92,226,28
64,195,341
120,170,67
164,136,122
197,85,46
267,113,34
298,157,91
326,196,134
264,269,171
221,207,209
185,155,160
144,191,177
127,234,139
182,284,108
222,334,75
279,21,30
207,67,360
161,1,26
219,303,330
253,254,6
186,211,46
111,248,105
90,184,191
62,147,170
38,121,132
142,26,55
219,76,72
180,116,17
124,179,80
93,229,138
56,297,179
13,238,209
32,322,213
67,267,256
106,224,198
174,179,165
208,145,136
346,80,110
316,128,73
270,58,96
234,122,55
183,177,341
149,210,50
111,261,121
73,300,146
111,247,179
156,169,124
17,159,71
66,245,15
101,322,313
157,240,334
198,183,333
256,214,14
188,157,47
233,74,94
272,122,134
321,172,203
270,217,169
232,169,139
180,129,106
117,49,1
171,116,34
129,159,342
192,215,26
222,148,79
204,98,121
169,137,92
137,189,23
110,152,126
85,101,185
52,167,218
13,191,252
342,144,188
110,95,149
174,31,103
205,90,61
192,143,26
167,198,0
115,233,311
79,163,283
114,91,341
145,42,27
207,312,73
252,12,95
188,61,114
132,357,169
174,50,198
202,156,181
114,106,124
144,107,84
192,52,39
161,357,76
92,36,110
126,79,146
171,132,177
225,184,214
195,156,189
235,91,157
288,43,112
321,7,61
294,41,29
247,86,84
214,118,151
299,165,120
243,218,75
196,159,20
160,93,342
107,28,301
207,88,327
242,137,9
285,80,56
272,41,28
