Piave,Ganges 1,Ghaghara,Athabasca,Ucayali Anastomosing,Sungai Pomats Tributary,Strickland
130,100,94,320,210,301,184
112,103,88,293,212,290,184
112,83,117,289,215,274,193
127,54,141,282,218,273,197
131,59,150,280,225,232,187
135,79,141,268,246,257,140
135,106,126,278,274,257,151
120,123,100,301,282,260,164
122,67,95,300,293,251,189
130,62,103,298,312,275,205
150,58,100,300,336,295,177
181,42,119,298,339,313,147
162,31,146,312,341,273,173
131,5,129,312,338,258,279
128,60,108,314,345,240,320
118,91,100,330,330,274,355
100,116,123,346,322,243,296
77,115,106,8,272,213,220
66,103,65,19,294,265,179
108,85,22,333,341,279,163
131,111,53,18,28,273,193
135,136,64,356,296,259,207
152,155,73,333,226,241,212
169,141,20,291,239,212,186
182,121,11,301,282,166,158
194,170,73,338,310,188,195
184,121,82,328,269,189,233
175,97,72,297,335,208,277
161,94,71,290,280,206,235
145,97,91,302,292,206,191
140,92,73,289,298,223,178
150,74,48,269,271,214,152
164,82,77,255,336,202,152
190,81,38,280,315,163,144
214,36,125,281,253,221,187
224,107,57,286,287,212,180
170,114,92,296,249,199,177
137,105,42,302,269,209,164
139,84,48,311,262,255,134
133,50,72,329,314,238,123
127,75,87,316,346,286,114
131,100,86,325,312,229,103
137,74,83,315,334,233,125
143,88,80,309,353,227,170
165,134,85,292,325,221,203
186,74,85,299,317,221,220
204,77,65,314,302,197,202
238,40,120,326,284,168,172
217,64,92,336,273,182,138
190,91,64,343,249,197,160
183,113,61,4,257,183,146
167,113,127,301,267,164,161
151,87,81,344,285,148,182
142,125,101,2,294,154,163
150,109,96,27,295,179,133
164,90,110,329,260,209,86
177,130,129,7,268,240,124
163,118,158,348,279,273,152
147,99,180,357,296,253,133
130,92,170,9,322,228,111
128,88,157,33,333,209,95
119,73,143,342,328,197,89
91,65,133,16,270,213,76
73,33,127,14,287,193,110
70,5,105,1,326,188,130
84,15,65,17,284,180,158
106,24,69,47,298,171,199
114,37,83,21,316,160,224
124,39,87,44,328,185,188
126,62,90,32,337,170,166
132,45,108,28,338,207,134
148,35,100,28,340,235,94
161,25,94,10,346,200,102
174,20,79,9,358,191,131
193,6,16,21,11,188,158
215,2,83,37,1,182,202
233,355,115,48,351,164,186
233,343,139,44,30,179,234
206,343,89,51,70,195,132
190,2,64,48,349,219,137
176,15,42,49,343,235,159
161,25,30,47,53,150,201
134,39,21,42,5,163,229
125,51,46,40,40,206,246
128,57,74,32,3,173,224
124,62,107,21,12,178,195
128,81,121,5,341,160,177
121,102,142,355,322,125,174
155,117,116,1,337,136,181
165,138,85,9,11,149,182
129,155,130,325,222,155,187
139,167,98,341,256,175,195
135,192,72,0,357,195,210
124,174,46,16,344,175,227
118,142,332,21,345,157,220
98,162,25,357,332,153,198
90,148,89,353,338,151,216
84,132,80,11,4,164,195
132,138,15,21,355,175,120
130,143,81,43,316,194,134
149,148,49,62,300,210,152
142,160,25,71,320,248,187
118,166,17,63,338,282,216
121,156,45,64,347,210,234
123,136,73,51,13,226,218
114,121,95,49,37,233,195
135,102,113,42,10,234,149
137,49,131,36,323,200,164
139,121,88,30,28,179,147
132,178,70,28,346,161,177
116,192,63,24,308,146,158
108,206,70,20,277,125,139
119,152,62,33,308,112,118
142,132,69,41,347,98,132
152,110,79,47,27,119,155
178,96,91,56,359,138,165
143,127,104,66,260,139,167
188,199,125,71,302,151,196
201,145,146,71,327,161,219
214,168,134,67,280,167,239
195,137,125,62,310,173,211
172,97,110,82,338,181,188
141,91,104,60,8,188,221
153,87,93,50,32,202,190
141,80,78,46,28,192,226
130,73,146,53,6,181,258
126,66,93,55,326,160,283
112,70,82,55,292,159,295
96,68,75,62,261,153,274
83,61,56,54,258,164,250
77,45,73,59,279,200,219
68,51,78,63,300,178,190
57,27,69,58,329,145,153
44,53,53,52,0,174,130
41,60,74,46,331,203,109
66,26,106,46,325,197,103
86,31,77,41,320,174,143
110,42,44,33,318,211,100
72,59,31,28,336,185,58
67,69,27,27,10,192,99
72,83,40,27,16,163,112
78,104,55,25,9,202,131
110,121,67,24,351,161,162
139,136,43,24,325,225,194
140,128,74,24,338,133,211
142,125,65,27,18,207,237
177,119,51,26,8,188,252
121,57,36,23,354,142,256
85,99,76,21,334,141,228
82,66,121,18,14,144,203
82,102,104,15,18,155,223
86,133,75,3,10,169,190
80,185,98,8,350,138,171
82,136,128,2,319,143,157
78,91,72,0,333,156,163
77,46,115,6,303,163,140
111,42,97,15,275,175,146
141,60,127,18,316,188,154
95,69,126,20,286,168,161
112,96,95,25,50,129,174
128,118,76,30,296,191,193
123,135,116,34,24,163,176
134,128,134,37,320,143,174
145,121,207,39,319,169,158
137,121,146,39,329,185,172
136,103,114,36,340,176,187
138,107,80,33,344,149,207
136,87,59,28,4,94,241
142,64,41,19,29,135,233
128,68,76,8,48,189,221
155,85,130,357,55,23,228
136,102,63,355,36,136,206
126,118,80,9,359,123,196
119,149,108,22,2,122,204
128,154,141,39,27,132,194
148,140,169,32,47,152,167
139,132,115,24,2,166,206
153,128,201,50,5,186,220
129,107,157,36,2,196,216
116,90,179,16,349,185,247
104,71,206,27,313,181,255
98,47,135,36,331,171,198
95,38,168,33,357,192,184
106,67,89,22,8,169,145
134,77,160,19,13,139,116
147,104,129,1,4,116,104
