Ashburton,At-Bashi,Copper,Godley,Grafe Peak,Halfafall,Hrafnabjorg,Jökulsá í Fljótsdal,Jökulsá í Lóni,Krossa,Matukituki,Pykkvabaejarklaustur,Rakaia Tributary 1,Rakaia Tributary 2,Rakaira Tributary 3,Rangitata,Skaftafell,Skeiðará Bridge,Son-Kul,Tasman,Tekapo,Waitaki,Waimakariri,Wgreenland,WGreenland 2,Sample
0.783,0.732,0.742,0.793,0.687,0.725,0.767,0.798,0.769,0.78,0.692,0.786,0.795,0.737,0.676,0.766,0.81,0.759,0.718,0.767,0.784,0.749,0.712,0.734,0.79,5
0.77,0.718,0.741,0.765,0.677,0.721,0.761,0.784,0.762,0.755,0.656,0.783,0.794,0.72,0.658,0.768,0.784,0.745,0.7,0.761,0.785,0.748,0.7,0.735,0.778,6
0.77,0.716,0.74,0.769,0.675,0.708,0.758,0.782,0.754,0.761,0.655,0.767,0.796,0.724,0.665,0.752,0.785,0.739,0.691,0.76,0.777,0.745,0.696,0.73,0.774,7
0.767,0.71,0.732,0.769,0.671,0.708,0.747,0.764,0.758,0.762,0.643,0.769,0.781,0.723,0.663,0.759,0.784,0.733,0.684,0.757,0.769,0.733,0.687,0.726,0.753,8
0.756,0.709,0.726,0.761,0.652,0.708,0.746,0.772,0.746,0.757,0.646,0.768,0.783,0.713,0.646,0.752,0.781,0.738,0.693,0.744,0.767,0.72,0.686,0.714,0.763,9
0.759,0.705,0.72,0.759,0.656,0.704,0.751,0.772,0.739,0.761,0.635,0.763,0.776,0.701,0.653,0.742,0.778,0.728,0.684,0.741,0.763,0.731,0.691,0.72,0.75,10
0.76,0.699,0.714,0.756,0.657,0.695,0.748,0.767,0.738,0.745,0.634,0.755,0.776,0.71,0.641,0.741,0.769,0.731,0.675,0.747,0.768,0.724,0.686,0.716,0.749,11
0.749,0.707,0.713,0.765,0.654,0.697,0.751,0.764,0.74,0.752,0.628,0.763,0.77,0.703,0.636,0.746,0.772,0.73,0.676,0.739,0.759,0.719,0.677,0.711,0.759,12
0.748,0.7,0.714,0.753,0.659,0.695,0.752,0.767,0.74,0.746,0.626,0.759,0.77,0.699,0.638,0.746,0.77,0.721,0.676,0.737,0.757,0.72,0.672,0.71,0.75,13
0.747,0.684,0.713,0.751,0.641,0.701,0.737,0.764,0.738,0.743,0.631,0.757,0.773,0.699,0.636,0.74,0.772,0.723,0.678,0.731,0.759,0.726,0.669,0.699,0.746,14
0.752,0.686,0.718,0.751,0.643,0.69,0.738,0.764,0.734,0.74,0.629,0.754,0.767,0.699,0.642,0.74,0.772,0.724,0.671,0.729,0.755,0.72,0.675,0.702,0.742,15
0.752,0.692,0.703,0.749,0.644,0.687,0.738,0.755,0.731,0.746,0.624,0.758,0.77,0.697,0.635,0.739,0.767,0.721,0.673,0.729,0.755,0.715,0.671,0.709,0.75,16
0.748,0.694,0.716,0.75,0.642,0.686,0.741,0.759,0.726,0.74,0.617,0.753,0.769,0.693,0.632,0.736,0.773,0.726,0.668,0.731,0.755,0.718,0.668,0.708,0.741,17
0.749,0.693,0.709,0.748,0.64,0.676,0.734,0.756,0.73,0.748,0.618,0.75,0.76,0.701,0.624,0.737,0.765,0.723,0.668,0.729,0.749,0.717,0.671,0.706,0.74,18
0.747,0.684,0.703,0.752,0.643,0.68,0.741,0.753,0.733,0.737,0.617,0.746,0.764,0.69,0.63,0.736,0.759,0.719,0.66,0.732,0.761,0.711,0.666,0.702,0.745,19
0.742,0.687,0.702,0.748,0.646,0.683,0.734,0.752,0.736,0.742,0.624,0.747,0.762,0.698,0.632,0.735,0.764,0.719,0.666,0.737,0.75,0.712,0.67,0.704,0.746,20
0.745,0.684,0.706,0.749,0.632,0.679,0.739,0.757,0.737,0.745,0.62,0.75,0.762,0.694,0.627,0.737,0.763,0.719,0.664,0.733,0.749,0.712,0.662,0.698,0.744,21
0.743,0.687,0.705,0.751,0.638,0.677,0.732,0.754,0.729,0.738,0.62,0.752,0.763,0.692,0.627,0.734,0.761,0.719,0.666,0.73,0.755,0.705,0.67,0.702,0.743,22
0.745,0.684,0.703,0.744,0.641,0.678,0.734,0.756,0.729,0.739,0.616,0.75,0.763,0.692,0.622,0.732,0.762,0.717,0.664,0.724,0.75,0.712,0.666,0.699,0.749,23
0.741,0.684,0.698,0.745,0.636,0.682,0.737,0.754,0.732,0.742,0.61,0.748,0.765,0.691,0.625,0.738,0.764,0.719,0.659,0.725,0.751,0.709,0.667,0.7,0.744,24
0.748,0.683,0.695,0.746,0.64,0.682,0.733,0.752,0.726,0.744,0.618,0.748,0.764,0.692,0.621,0.729,0.764,0.716,0.662,0.729,0.75,0.717,0.659,0.702,0.746,25
0.744,0.686,0.699,0.746,0.628,0.678,0.734,0.754,0.732,0.739,0.62,0.748,0.766,0.689,0.626,0.732,0.763,0.713,0.661,0.724,0.754,0.711,0.658,0.7,0.744,26
0.747,0.677,0.696,0.741,0.629,0.681,0.735,0.758,0.729,0.739,0.609,0.744,0.755,0.694,0.624,0.732,0.76,0.716,0.661,0.726,0.751,0.701,0.663,0.703,0.743,27
0.742,0.682,0.7,0.747,0.632,0.679,0.733,0.753,0.727,0.74,0.613,0.749,0.765,0.687,0.624,0.738,0.76,0.716,0.664,0.729,0.753,0.708,0.671,0.694,0.738,28
0.74,0.684,0.699,0.745,0.632,0.681,0.729,0.753,0.729,0.742,0.617,0.746,0.755,0.69,0.625,0.736,0.758,0.718,0.659,0.729,0.751,0.702,0.665,0.699,0.737,29
0.743,0.682,0.699,0.745,0.628,0.677,0.732,0.754,0.724,0.736,0.61,0.751,0.762,0.691,0.626,0.73,0.761,0.716,0.663,0.725,0.748,0.707,0.658,0.695,0.742,30
0.746,0.681,0.698,0.743,0.633,0.685,0.725,0.757,0.725,0.738,0.618,0.748,0.758,0.687,0.62,0.732,0.762,0.712,0.666,0.725,0.748,0.708,0.656,0.698,0.741,31
0.741,0.683,0.701,0.742,0.626,0.678,0.73,0.751,0.727,0.742,0.613,0.749,0.759,0.687,0.626,0.73,0.761,0.718,0.664,0.722,0.751,0.702,0.663,0.695,0.737,32
0.743,0.677,0.701,0.743,0.631,0.679,0.735,0.752,0.724,0.739,0.614,0.744,0.756,0.69,0.619,0.727,0.758,0.717,0.661,0.726,0.748,0.708,0.66,0.697,0.739,33
0.738,0.684,0.695,0.742,0.633,0.679,0.736,0.755,0.732,0.738,0.623,0.743,0.761,0.692,0.623,0.729,0.758,0.714,0.66,0.722,0.747,0.705,0.661,0.696,0.739,34
0.738,0.677,0.696,0.741,0.634,0.677,0.734,0.753,0.724,0.737,0.616,0.744,0.762,0.687,0.627,0.733,0.757,0.716,0.663,0.725,0.751,0.706,0.662,0.699,0.737,35
0.744,0.684,0.699,0.744,0.628,0.675,0.731,0.753,0.728,0.735,0.611,0.746,0.761,0.691,0.62,0.731,0.763,0.718,0.659,0.727,0.75,0.703,0.662,0.694,0.739,36
0.741,0.68,0.696,0.746,0.628,0.679,0.731,0.751,0.726,0.736,0.618,0.743,0.753,0.691,0.621,0.733,0.761,0.718,0.661,0.728,0.748,0.701,0.662,0.698,0.737,37
0.739,0.685,0.697,0.745,0.631,0.671,0.736,0.751,0.723,0.739,0.612,0.743,0.762,0.684,0.622,0.731,0.761,0.711,0.66,0.731,0.745,0.707,0.664,0.696,0.736,38
0.748,0.678,0.696,0.743,0.63,0.673,0.73,0.752,0.722,0.735,0.614,0.741,0.757,0.69,0.625,0.734,0.762,0.714,0.663,0.722,0.745,0.705,0.664,0.699,0.738,39
0.739,0.682,0.697,0.744,0.626,0.674,0.726,0.745,0.721,0.739,0.613,0.743,0.756,0.685,0.621,0.736,0.759,0.711,0.663,0.726,0.751,0.701,0.658,0.694,0.737,40
0.739,0.678,0.697,0.741,0.63,0.674,0.731,0.752,0.721,0.734,0.611,0.745,0.755,0.688,0.626,0.73,0.757,0.712,0.657,0.728,0.749,0.706,0.663,0.694,0.74,41
0.74,0.681,0.695,0.745,0.629,0.681,0.733,0.749,0.728,0.735,0.613,0.743,0.759,0.688,0.626,0.732,0.757,0.713,0.653,0.723,0.749,0.703,0.658,0.695,0.736,42
0.738,0.683,0.694,0.744,0.632,0.679,0.729,0.752,0.72,0.736,0.613,0.743,0.757,0.691,0.62,0.73,0.758,0.711,0.656,0.722,0.749,0.709,0.659,0.698,0.736,43
0.743,0.68,0.696,0.745,0.631,0.674,0.728,0.747,0.723,0.739,0.614,0.743,0.759,0.687,0.621,0.724,0.756,0.713,0.654,0.72,0.745,0.701,0.655,0.696,0.739,44
0.737,0.68,0.695,0.746,0.632,0.673,0.731,0.749,0.726,0.736,0.612,0.742,0.757,0.686,0.619,0.729,0.76,0.713,0.658,0.724,0.746,0.705,0.659,0.691,0.74,45
0.742,0.676,0.698,0.743,0.629,0.675,0.734,0.751,0.725,0.734,0.602,0.744,0.756,0.685,0.627,0.727,0.755,0.711,0.657,0.723,0.752,0.706,0.66,0.694,0.737,46
0.737,0.678,0.694,0.744,0.626,0.676,0.729,0.751,0.723,0.736,0.616,0.746,0.757,0.687,0.624,0.727,0.752,0.712,0.657,0.725,0.745,0.708,0.661,0.694,0.736,47
0.74,0.681,0.698,0.742,0.632,0.677,0.73,0.753,0.722,0.732,0.614,0.741,0.753,0.686,0.614,0.729,0.762,0.713,0.655,0.723,0.746,0.701,0.657,0.692,0.734,48
0.738,0.68,0.694,0.743,0.626,0.674,0.727,0.752,0.722,0.737,0.614,0.744,0.759,0.687,0.618,0.733,0.757,0.714,0.658,0.727,0.749,0.697,0.657,0.697,0.735,49
0.741,0.678,0.693,0.743,0.629,0.675,0.728,0.751,0.723,0.732,0.611,0.744,0.755,0.686,0.615,0.733,0.756,0.711,0.661,0.719,0.749,0.704,0.661,0.694,0.74,50
0.742,0.677,0.697,0.74,0.63,0.675,0.73,0.748,0.725,0.732,0.608,0.743,0.754,0.687,0.626,0.732,0.757,0.71,0.659,0.722,0.748,0.702,0.659,0.697,0.736,51
0.741,0.678,0.693,0.741,0.632,0.675,0.726,0.751,0.725,0.735,0.611,0.745,0.758,0.69,0.62,0.73,0.755,0.71,0.656,0.725,0.746,0.704,0.661,0.696,0.739,52
0.741,0.681,0.693,0.742,0.624,0.674,0.731,0.751,0.719,0.732,0.612,0.742,0.754,0.689,0.617,0.728,0.76,0.712,0.656,0.721,0.746,0.707,0.659,0.691,0.738,53
0.739,0.673,0.7,0.735,0.631,0.679,0.732,0.749,0.725,0.733,0.61,0.742,0.755,0.688,0.618,0.73,0.753,0.711,0.66,0.723,0.747,0.703,0.659,0.694,0.739,54
0.74,0.675,0.694,0.741,0.631,0.674,0.728,0.749,0.725,0.738,0.604,0.743,0.757,0.687,0.618,0.727,0.761,0.713,0.66,0.721,0.747,0.7,0.658,0.692,0.738,55
0.737,0.677,0.697,0.74,0.629,0.674,0.727,0.747,0.724,0.736,0.609,0.744,0.756,0.688,0.621,0.728,0.758,0.713,0.654,0.723,0.748,0.702,0.656,0.693,0.737,56
0.739,0.675,0.695,0.741,0.628,0.675,0.73,0.75,0.726,0.734,0.608,0.742,0.755,0.687,0.62,0.729,0.763,0.714,0.662,0.722,0.748,0.705,0.659,0.698,0.737,57
0.737,0.677,0.692,0.743,0.629,0.672,0.727,0.754,0.725,0.737,0.614,0.743,0.757,0.684,0.614,0.729,0.756,0.714,0.655,0.722,0.745,0.703,0.658,0.693,0.734,58
0.742,0.68,0.694,0.737,0.632,0.673,0.729,0.75,0.72,0.734,0.61,0.742,0.758,0.686,0.618,0.731,0.757,0.712,0.658,0.724,0.747,0.706,0.656,0.693,0.738,59
0.737,0.678,0.694,0.739,0.63,0.672,0.729,0.748,0.72,0.734,0.611,0.743,0.759,0.688,0.621,0.728,0.755,0.712,0.662,0.721,0.745,0.702,0.659,0.693,0.737,60
0.74,0.674,0.693,0.741,0.628,0.675,0.727,0.748,0.722,0.732,0.609,0.741,0.756,0.685,0.617,0.728,0.755,0.712,0.653,0.723,0.746,0.702,0.658,0.695,0.733,61
0.738,0.679,0.696,0.741,0.628,0.674,0.727,0.751,0.716,0.734,0.611,0.743,0.76,0.686,0.621,0.727,0.758,0.713,0.657,0.722,0.744,0.702,0.66,0.694,0.737,62
