River,Dispersion,Morphology,River Type
Napo,0.308,Meandering,1
Amazon_Trib_1,0.351,Meandering,1
Rio_Cauto,0.357,Meandering,1
Mamore,0.369,Meandering,1
Jurua,0.37,Meandering,1
Japura,0.42,Meandering,1
Purus,0.423,Meandering,1
Nowitina,0.435,Meandering,1
Uvac,0.442,Meandering,1
Rio_Madre_De_Dois_SE,0.465,Meandering,1
Rio_Ucayali,0.469,Meandering,1
Putumayo,0.491,Meandering,1
Clyde,0.513,Meandering,1
Ucayali,0.521,Meandering,1
Neches,0.532,Meandering,1
Chiriqui_Viejo,0.533,Meandering,1
Tennessee,0.549,Meandering,1
Luangwa,0.556,Meandering,1
Madre_De_Dois,0.562,Meandering,1
Skeena,0.576,Meandering,1
Chippewa,0.584,Meandering,1
Sacramento,0.585,Meandering,1
Tsimlyansk,0.605,Meandering,1
Ontonagon,0.61,Meandering,1
Hvanneyri,0.64,Meandering,1
Rio_Caqueta,0.654,Meandering,1
Colorado,0.665,Meandering,1
Rio_Caqueta_1,0.679,Meandering,1
Matukituki,0.714,Braided,2
Rakaira Tributary 3,0.727,Braided,2
Grafe Peak,0.737,Braided,2
Son-Kul,0.771,Braided,2
Waimakariri,0.773,Braided,2
Halfafall,0.791,Braided,2
At-Bashi,0.796,Braided,2
Rakaia Tributary 2,0.807,Braided,2
Copper,0.816,Braided,2
Wgreenland,0.817,Braided,2
Waitaki,0.828,Braided,2
Skei_ar‡ Bridge,0.836,Braided,2
Tasman,0.849,Braided,2
Jškuls‡ ’ L—ni,0.85,Braided,2
Hrafnabjorg,0.857,Braided,2
Rangitata,0.858,Braided,2
Krossa,0.864,Braided,2
WGreenland 2,0.865,Braided,2
Ashburton,0.869,Braided,2
Godley,0.872,Braided,2
Pykkvabaejarklaustur,0.874,Braided,2
Tekapo,0.878,Braided,2
Jškuls‡ ’ Flj—tsdal,0.882,Braided,2
Rakaia Tributary 1,0.891,Braided,2
Skaftafell,0.891,Braided,2
