Amazon,Chippewa,Chiriqui Viejo,Hvanneyri,Japura,Jurá,Luangwa,Madre De Dois ,Mamore,Napo,Neches,Nowitina,Ontonagon,Purus ,Putumayo,Rio Ucayali,Sacramento,Skeena,Tsimlyansk,Ucayali,Central Kalimantan 1,Australia Basin 1,Barwon River,Central Kalimantan 2,Indragiri River,Digul River,Sung Sen River,Lufiria River,Congo River,Tana River,Ereen River,Adda River,Ucayali River,Amga River ,Rio Ta Huamanu River ,Tarauaca River,Rio Muru River,Rio Envira River,Kapuas River,Baliem River ,Papua New Guinea River 1 ,Era River,Trinity,Rio Guaviare,Inirida River,Huallaga River,Rio Uneiuxi,Ngawun Chaung,Rio Madre De Dois 2,Rio_Madidi ,Sample
0.481,0.613,0.603,0.649,0.518,0.493,0.583,0.598,0.489,0.475,0.577,0.518,0.649,0.51,0.567,0.548,0.608,0.615,0.631,0.583,0.612,0.45,0.621,0.504,0.535,0.59,0.545,0.558,0.625,0.593,0.562,0.58,0.583,0.582,0.534,0.619,0.562,0.538,0.539,0.545,0.465,0.592,0.602,0.503,0.502,0.581,0.511,0.522,0.551,0.532,5
0.401,0.572,0.528,0.61,0.456,0.423,0.557,0.546,0.413,0.369,0.538,0.462,0.582,0.442,0.487,0.483,0.572,0.574,0.585,0.52,0.565,0.391,0.565,0.427,0.466,0.496,0.476,0.512,0.575,0.545,0.5,0.521,0.508,0.542,0.45,0.538,0.513,0.461,0.493,0.484,0.394,0.547,0.564,0.423,0.432,0.518,0.446,0.453,0.493,0.457,10
0.366,0.55,0.52,0.602,0.413,0.382,0.528,0.541,0.387,0.326,0.517,0.435,0.58,0.425,0.481,0.469,0.546,0.542,0.584,0.499,0.555,0.36,0.549,0.396,0.446,0.488,0.441,0.493,0.566,0.537,0.494,0.503,0.503,0.529,0.444,0.532,0.487,0.449,0.477,0.454,0.348,0.541,0.55,0.397,0.397,0.497,0.413,0.447,0.463,0.428,15
0.352,0.554,0.501,0.6,0.412,0.374,0.524,0.531,0.367,0.318,0.498,0.42,0.575,0.41,0.471,0.446,0.55,0.546,0.573,0.495,0.541,0.33,0.543,0.379,0.441,0.471,0.426,0.479,0.561,0.517,0.475,0.502,0.48,0.519,0.429,0.521,0.47,0.426,0.458,0.446,0.341,0.524,0.536,0.372,0.38,0.501,0.391,0.43,0.463,0.426,20
0.335,0.546,0.499,0.6,0.397,0.36,0.521,0.533,0.351,0.304,0.504,0.421,0.557,0.404,0.467,0.446,0.544,0.539,0.564,0.497,0.528,0.334,0.535,0.371,0.438,0.48,0.421,0.474,0.55,0.524,0.463,0.489,0.485,0.511,0.419,0.514,0.467,0.424,0.463,0.445,0.324,0.523,0.525,0.372,0.38,0.491,0.396,0.426,0.463,0.42,25
0.348,0.553,0.504,0.587,0.391,0.366,0.523,0.518,0.362,0.305,0.501,0.415,0.565,0.396,0.458,0.432,0.545,0.541,0.563,0.49,0.531,0.327,0.531,0.378,0.433,0.468,0.424,0.471,0.548,0.517,0.472,0.491,0.479,0.509,0.424,0.515,0.464,0.425,0.45,0.426,0.319,0.517,0.533,0.362,0.369,0.486,0.386,0.426,0.454,0.425,30
0.329,0.542,0.495,0.587,0.396,0.356,0.514,0.522,0.354,0.307,0.5,0.412,0.56,0.395,0.459,0.442,0.54,0.529,0.553,0.493,0.529,0.317,0.528,0.374,0.422,0.463,0.412,0.466,0.543,0.515,0.464,0.484,0.484,0.506,0.412,0.511,0.467,0.415,0.448,0.431,0.318,0.51,0.526,0.366,0.371,0.482,0.389,0.417,0.451,0.414,35
0.331,0.537,0.492,0.585,0.388,0.356,0.515,0.522,0.354,0.293,0.494,0.413,0.558,0.391,0.463,0.434,0.537,0.538,0.557,0.487,0.524,0.321,0.525,0.367,0.42,0.462,0.42,0.462,0.544,0.515,0.462,0.485,0.475,0.505,0.411,0.511,0.457,0.412,0.447,0.426,0.309,0.513,0.523,0.363,0.356,0.485,0.381,0.41,0.448,0.406,40
0.332,0.538,0.49,0.589,0.396,0.35,0.512,0.526,0.345,0.3,0.495,0.409,0.557,0.393,0.448,0.429,0.542,0.533,0.556,0.484,0.524,0.315,0.526,0.364,0.428,0.453,0.415,0.462,0.539,0.508,0.456,0.484,0.477,0.506,0.403,0.509,0.461,0.407,0.44,0.42,0.313,0.51,0.527,0.357,0.362,0.484,0.381,0.407,0.449,0.406,45
0.332,0.54,0.489,0.59,0.394,0.348,0.509,0.522,0.349,0.298,0.495,0.406,0.555,0.397,0.449,0.433,0.539,0.529,0.554,0.48,0.524,0.31,0.526,0.359,0.418,0.455,0.411,0.461,0.54,0.514,0.457,0.482,0.473,0.499,0.405,0.509,0.461,0.41,0.438,0.425,0.306,0.508,0.523,0.357,0.359,0.476,0.378,0.407,0.443,0.402,50
0.33,0.542,0.489,0.581,0.393,0.35,0.513,0.524,0.356,0.295,0.486,0.4,0.558,0.389,0.447,0.433,0.538,0.529,0.555,0.486,0.52,0.312,0.522,0.357,0.413,0.457,0.405,0.464,0.54,0.508,0.455,0.479,0.466,0.501,0.404,0.505,0.459,0.406,0.444,0.423,0.306,0.504,0.522,0.353,0.356,0.481,0.378,0.41,0.445,0.404,55
0.325,0.539,0.488,0.585,0.388,0.347,0.509,0.518,0.35,0.291,0.489,0.403,0.562,0.391,0.454,0.43,0.536,0.524,0.555,0.48,0.523,0.31,0.523,0.359,0.418,0.452,0.411,0.464,0.544,0.51,0.461,0.479,0.467,0.498,0.407,0.506,0.453,0.408,0.451,0.418,0.301,0.508,0.518,0.353,0.362,0.478,0.378,0.408,0.445,0.401,60
0.327,0.537,0.484,0.583,0.388,0.342,0.504,0.515,0.345,0.291,0.491,0.404,0.559,0.386,0.45,0.435,0.531,0.525,0.557,0.478,0.518,0.304,0.524,0.359,0.414,0.452,0.412,0.456,0.538,0.503,0.46,0.48,0.474,0.5,0.407,0.511,0.458,0.407,0.439,0.422,0.3,0.509,0.522,0.344,0.359,0.479,0.378,0.404,0.445,0.404,65
0.322,0.536,0.492,0.584,0.388,0.346,0.508,0.516,0.345,0.287,0.492,0.4,0.555,0.383,0.45,0.436,0.536,0.526,0.554,0.477,0.519,0.309,0.523,0.356,0.414,0.451,0.406,0.459,0.54,0.506,0.453,0.481,0.471,0.497,0.405,0.505,0.457,0.404,0.441,0.425,0.301,0.504,0.517,0.347,0.353,0.475,0.369,0.409,0.443,0.402,70
0.32,0.535,0.484,0.585,0.385,0.339,0.509,0.515,0.343,0.291,0.491,0.405,0.555,0.386,0.452,0.427,0.536,0.528,0.551,0.478,0.518,0.307,0.519,0.354,0.414,0.449,0.408,0.455,0.539,0.503,0.454,0.478,0.462,0.494,0.402,0.507,0.454,0.407,0.437,0.425,0.304,0.504,0.518,0.348,0.354,0.48,0.368,0.408,0.44,0.402,75
0.324,0.536,0.486,0.583,0.382,0.342,0.509,0.516,0.343,0.282,0.49,0.402,0.556,0.388,0.45,0.433,0.535,0.528,0.553,0.478,0.517,0.305,0.521,0.358,0.415,0.452,0.409,0.458,0.535,0.505,0.453,0.473,0.471,0.498,0.409,0.507,0.452,0.406,0.437,0.419,0.298,0.501,0.522,0.344,0.353,0.477,0.377,0.405,0.44,0.403,80
0.323,0.533,0.486,0.585,0.386,0.34,0.509,0.516,0.341,0.285,0.488,0.399,0.559,0.39,0.452,0.427,0.532,0.528,0.55,0.479,0.523,0.303,0.519,0.355,0.415,0.45,0.41,0.461,0.537,0.505,0.453,0.477,0.466,0.494,0.402,0.5,0.457,0.402,0.439,0.416,0.3,0.502,0.52,0.35,0.354,0.478,0.376,0.408,0.437,0.403,85
0.321,0.532,0.488,0.587,0.382,0.338,0.502,0.515,0.343,0.286,0.489,0.399,0.553,0.384,0.45,0.433,0.534,0.528,0.554,0.475,0.519,0.302,0.516,0.349,0.413,0.448,0.406,0.454,0.536,0.501,0.454,0.478,0.467,0.496,0.398,0.504,0.453,0.405,0.436,0.42,0.298,0.503,0.519,0.348,0.353,0.481,0.371,0.405,0.439,0.397,90
