Amazon_Trib_1,Chippewa,Chiriqui_Viejo,Clyde,Hvanneyri,Japura,Jurua,Luangwa,Madre_De_Dois,Mamore,Napo,Neches,Nowitina,Ontonagon,Purus,Putumayo,Rio_Caqueta,Rio_Cauto,Rio_Madre_De_Dois_SE,Rio_Ucayali,Sacramento,Skeena,Tennessee,Tsimlyansk,Ucayali,Uvac,Sample
0.488,0.62,0.588,0.576,0.661,0.511,0.484,0.6,0.608,0.484,0.461,0.591,0.54,0.625,0.522,0.55,0.664,0.481,0.538,0.531,0.612,0.606,0.595,0.642,0.568,0.539,5
0.453,0.593,0.557,0.554,0.649,0.508,0.454,0.598,0.597,0.47,0.434,0.582,0.507,0.624,0.492,0.531,0.671,0.46,0.524,0.523,0.611,0.597,0.575,0.616,0.556,0.504,6
0.435,0.602,0.531,0.549,0.645,0.477,0.447,0.575,0.579,0.439,0.411,0.561,0.472,0.622,0.481,0.537,0.637,0.447,0.493,0.528,0.578,0.611,0.566,0.603,0.542,0.49,7
0.411,0.578,0.545,0.513,0.632,0.467,0.43,0.564,0.571,0.45,0.394,0.543,0.477,0.598,0.462,0.523,0.634,0.415,0.496,0.501,0.59,0.587,0.559,0.586,0.555,0.479,8
0.415,0.589,0.53,0.519,0.631,0.462,0.422,0.557,0.57,0.426,0.38,0.542,0.479,0.611,0.451,0.511,0.637,0.406,0.484,0.486,0.589,0.578,0.555,0.605,0.523,0.475,9
0.401,0.59,0.522,0.518,0.616,0.45,0.417,0.551,0.557,0.409,0.384,0.531,0.45,0.601,0.447,0.493,0.635,0.404,0.479,0.489,0.582,0.56,0.539,0.581,0.527,0.459,10
0.388,0.563,0.53,0.503,0.614,0.433,0.412,0.55,0.549,0.41,0.375,0.538,0.446,0.593,0.447,0.504,0.63,0.397,0.475,0.481,0.576,0.566,0.551,0.59,0.53,0.451,11
0.381,0.558,0.513,0.503,0.607,0.43,0.401,0.539,0.549,0.393,0.376,0.515,0.44,0.59,0.443,0.49,0.624,0.393,0.45,0.474,0.573,0.567,0.53,0.576,0.512,0.451,12
0.382,0.567,0.52,0.506,0.609,0.427,0.387,0.538,0.541,0.369,0.346,0.519,0.452,0.586,0.436,0.481,0.622,0.39,0.463,0.461,0.55,0.557,0.53,0.585,0.515,0.448,13
0.379,0.565,0.506,0.502,0.613,0.426,0.39,0.527,0.539,0.386,0.353,0.525,0.448,0.58,0.426,0.488,0.625,0.377,0.468,0.464,0.555,0.555,0.535,0.576,0.508,0.448,14
