,Ashburton,At-Bashi,Copper,Godley,Grafe Peak,Halfafall,Hrafnabjorg,Jökulsá í Fljótsdal,Jökulsá í Lóni,Krossa,Matukituki,Pykkvabaejarklaustur,Rakaia Tributary 1,Rakaia Tributary 2,Rakaira Tributary 3,Rangitata,Skaftafell,Skeiðará Bridge,Son-Kul,Tasman,Tekapo,Waitaki,Waimakariri,Wgreenland,WGreenland 2,Meduna Right,Meduna Left,Silfrastadhir,Iceland 1,Iceland 2 ,Brahmaputra,Rangitata.1,Sag,Biatka,Delta,Koshi,Loup ,Ganges,Athabasca,Brahmaputra 2,Tanana,McKinley,White,Tanana Tributary,Susitina,Fiume Trionto,Torrente Satanasso,Fiumara Saraceno,Fiume Sarmento,SE Iceland,Knik
0,0.788,0.727,0.769,0.79,0.691,0.726,0.781,0.792,0.772,0.783,0.683,0.786,0.797,0.746,0.691,0.783,0.797,0.761,0.719,0.776,0.791,0.748,0.719,0.76,0.786,0.827,0.805,0.798,0.775,0.784,0.684,0.79,0.784,0.794,0.748,0.708,0.766,0.792,0.784,0.775,0.786,0.793,0.761,0.767,0.732,0.791,0.791,0.807,0.785,0.781,0.763
1,0.76,0.707,0.722,0.766,0.652,0.694,0.742,0.768,0.74,0.753,0.637,0.762,0.778,0.711,0.65,0.754,0.781,0.733,0.687,0.749,0.771,0.724,0.683,0.71,0.76,0.791,0.784,0.776,0.751,0.752,0.653,0.774,0.77,0.767,0.702,0.682,0.752,0.775,0.747,0.742,0.767,0.769,0.727,0.766,0.708,0.769,0.764,0.778,0.763,0.762,0.739
2,0.75,0.692,0.709,0.752,0.648,0.688,0.742,0.764,0.737,0.746,0.627,0.753,0.771,0.695,0.64,0.743,0.773,0.725,0.674,0.737,0.759,0.719,0.665,0.706,0.747,0.784,0.778,0.777,0.743,0.749,0.651,0.762,0.75,0.752,0.695,0.671,0.733,0.765,0.745,0.734,0.755,0.755,0.716,0.738,0.701,0.77,0.755,0.767,0.757,0.753,0.729
3,0.742,0.685,0.699,0.75,0.643,0.677,0.736,0.756,0.734,0.739,0.62,0.755,0.764,0.692,0.632,0.737,0.761,0.716,0.669,0.732,0.751,0.716,0.667,0.708,0.745,0.786,0.77,0.768,0.736,0.744,0.645,0.764,0.743,0.75,0.698,0.665,0.731,0.757,0.741,0.726,0.757,0.751,0.713,0.741,0.692,0.769,0.752,0.769,0.752,0.752,0.725
4,0.743,0.686,0.705,0.746,0.643,0.677,0.737,0.755,0.73,0.737,0.618,0.753,0.763,0.692,0.625,0.737,0.761,0.716,0.659,0.731,0.748,0.712,0.66,0.698,0.74,0.778,0.767,0.766,0.731,0.744,0.64,0.753,0.746,0.749,0.691,0.664,0.733,0.762,0.739,0.73,0.749,0.751,0.71,0.736,0.694,0.763,0.751,0.765,0.755,0.753,0.717
5,0.745,0.68,0.698,0.743,0.635,0.684,0.736,0.752,0.731,0.737,0.612,0.749,0.76,0.692,0.621,0.729,0.758,0.717,0.662,0.731,0.751,0.705,0.658,0.696,0.742,0.78,0.763,0.762,0.728,0.734,0.635,0.754,0.743,0.742,0.692,0.655,0.728,0.759,0.74,0.717,0.751,0.754,0.708,0.739,0.697,0.76,0.75,0.761,0.75,0.753,0.721
6,0.747,0.68,0.696,0.74,0.638,0.675,0.73,0.746,0.728,0.74,0.609,0.741,0.76,0.69,0.619,0.732,0.756,0.715,0.661,0.724,0.749,0.704,0.662,0.692,0.737,0.781,0.769,0.765,0.733,0.738,0.634,0.752,0.738,0.742,0.689,0.658,0.724,0.76,0.737,0.719,0.751,0.749,0.709,0.737,0.689,0.764,0.749,0.76,0.746,0.751,0.717
7,0.74,0.676,0.701,0.743,0.637,0.675,0.729,0.751,0.727,0.736,0.611,0.746,0.76,0.689,0.623,0.733,0.76,0.713,0.655,0.728,0.746,0.703,0.659,0.698,0.74,0.777,0.768,0.758,0.731,0.73,0.634,0.753,0.741,0.739,0.685,0.66,0.723,0.76,0.737,0.721,0.746,0.748,0.703,0.73,0.691,0.76,0.751,0.763,0.751,0.75,0.719
8,0.741,0.677,0.702,0.741,0.638,0.676,0.729,0.751,0.725,0.736,0.608,0.746,0.756,0.688,0.622,0.733,0.759,0.714,0.658,0.721,0.75,0.706,0.657,0.693,0.738,0.778,0.769,0.759,0.73,0.735,0.627,0.755,0.74,0.747,0.682,0.657,0.724,0.753,0.736,0.719,0.749,0.744,0.705,0.731,0.69,0.761,0.75,0.763,0.742,0.752,0.716
9,0.738,0.679,0.692,0.741,0.63,0.676,0.729,0.75,0.729,0.737,0.608,0.74,0.755,0.685,0.623,0.729,0.756,0.71,0.658,0.724,0.747,0.701,0.659,0.689,0.736,0.774,0.767,0.762,0.724,0.737,0.629,0.751,0.739,0.738,0.686,0.654,0.728,0.757,0.734,0.714,0.751,0.744,0.701,0.733,0.685,0.755,0.746,0.76,0.743,0.746,0.714
