River,Dispersion,Morphology,River Type
Amazon_Trib_1,0.319,Meandering,1
Chippewa,0.532,Meandering,1
Chiriqui_Viejo,0.488,Meandering,1
Clyde,0.465,Meandering,1
Colorado,0.604,Meandering,1
Hvanneyri,0.579,Meandering,1
Japura,0.381,Meandering,1
Jurua,0.34,Meandering,1
Luangwa,0.502,Meandering,1
Madre_De_Dois,0.512,Meandering,1
Mamore,0.335,Meandering,1
Napo,0.28,Meandering,1
Neches,0.489,Meandering,1
Nowitina,0.397,Meandering,1
Ontonagon,0.554,Meandering,1
Purus,0.383,Meandering,1
Putumayo,0.447,Meandering,1
Rio_Caqueta_1,0.62,Meandering,1
Rio_Caqueta,0.598,Meandering,1
Rio_Cauto,0.326,Meandering,1
Rio_Madre_De_Dois_SE,0.423,Meandering,1
Rio_Ucayali,0.426,Meandering,1
Sacramento,0.531,Meandering,1
Skeena,0.524,Meandering,1
Tennessee,0.5,Meandering,1
Tsimlyansk,0.55,Meandering,1
Ucayali,0.475,Meandering,1
Uvac,0.404,Meandering,1
Ashburton,0.737,Braided,2
At-Bashi,0.675,Braided,2
Copper,0.693,Braided,2
Godley,0.738,Braided,2
Grafe Peak,0.624,Braided,2
Halfafall,0.67,Braided,2
Hrafnabjorg,0.724,Braided,2
Jökulsá í Fljótsdal,0.747,Braided,2
Jökulsá í Lóni,0.721,Braided,2
Krossa,0.73,Braided,2
Matukituki,0.61,Braided,2
Pykkvabaejarklaustur,0.742,Braided,2
Rakaia Tributary 1,0.754,Braided,2
Rakaia Tributary 2,0.683,Braided,2
Rakaira Tributary 3,0.617,Braided,2
Rangitata,0.727,Braided,2
Skaftafell,0.756,Braided,2
Skeiðará Bridge,0.708,Braided,2
Son-Kul,0.651,Braided,2
Tasman,0.718,Braided,2
Tekapo,0.743,Braided,2
Waitaki,0.701,Braided,2
Waimakariri,0.653,Braided,2
Wgreenland,0.693,Braided,2
WGreenland 2,0.735,Braided,2
