Boundary SST. Saddle Mtn. ,Structure,Scale,Plunge
114,x-bed,Ls,0
196,x-bed,Ls,0
341,x-bed,Ls,0
322,x-bed,Ls,0
62,x-bed,Ls,0
331,x-bed,Ls,0
39,x-bed,Ls,0
292,x-bed,Ls,0
356,x-bed,Ls,0
316,x-bed,Ls,0
310,x-bed,Ls,0
176,x-bed,Ls,0
51,x-bed,Ls,0
27,x-bed,Ls,0
305,x-bed,Ss,0
122,x-bed,Ls,0
335,x-bed,Ss,0
323,x-bed,Ls,0
265,x-bed,Ls,0
134,x-bed,Ls,0
68,x-bed,Ls,0
193,x-bed,Ls,0
358,x-bed,Ls,0
74,x-bed,Ls,0
332,x-bed,Ls,0
202,x-bed,Ls,0
291,x-bed,Ss,0
0,x-bed,Ls,0
355,x-bed,Ls,0
4,x-bed,Ls,0
5,x-bed,Ls,0
301,x-bed,Ss,0
238,x-bed,Ls,0
319,x-bed,Ss,0
187,x-bed,Ls,0
189,x-bed,Ls,0
251,x-bed,Ls,0
260,x-bed,Ss,0
306,Pb,,0
344,x-bed,Ss,0
300,x-bed,Ls,0
391,x-bed,Ss,0
340,x-bed,Ss,0
346,x-bed,Ls,0
57,x-bed,Ss,0
327,x-bed,Ss,0
29,x-bed,Ss,0
6,x-bed,Ss,0
336,x-bed,Ls,0
311,x-bed,Ss,0
54,x-bed,Ss,0
51,Flute Cast,,0
319,x-bed,Ss,0
347,x-bed,Ls,0
4,Caliche Cong.,,0
34,x-bed,Ls,0
353,x-bed,Ss,0
27,x-bed,Ss,0
