,River,Dispersion
0,Amazon,0.316
1,Chippewa,0.531
2,Chiriqui Viejo,0.483
3,Hvanneyri,0.578
4,Japura,0.38
5,Jurá,0.336
6,Luangwa,0.503
7,Madre De Dois ,0.512
8,Mamore,0.336
9,Napo,0.277
10,Neches,0.485
11,Nowitina,0.396
12,Ontonagon,0.552
13,Purus ,0.383
14,Putumayo,0.445
15,Rio Caqueta,0.619
16,Rio Madre De Dois SE,0.414
17,Rio Ucayali,0.424
18,Sacramento,0.53
19,Skeena,0.523
20,Tsimlyansk,0.548
21,Ucayali,0.474
22,Uvac,0.402
23,Central Kalimantan 1,0.514
24,Australia Basin 1,0.295
25,Barwon River,0.515
26,Central Kalimantan 2,0.349
27,Indragiri River,0.408
28,Digul River,0.447
29,Sung Sen River,0.403
30,Lufiria River,0.45
31,Congo River,0.534
32,Tana River,0.5
33,Ereen River,0.45
34,Adda River,0.473
35,Ucayali River,0.464
36,Amga River ,0.494
37,Rio Ta Huamanu River ,0.4
38,Tarauaca River,0.5
39,Rio Muru River,0.449
40,Rio Envira River,0.4
41,Kapuas River,0.434
42,Baliem River ,0.415
43,Papua New Guinea River 1 ,0.293
44,Era River,0.5
45,Trinity,0.516
46,Rio Guaviare,0.34
47,Inirida River,0.352
48,Huallaga River,0.474
49,Rio Uneiuxi,0.368
