Cf-16,Cf-13,Cf-12,BS-SouthRim,BS-SaddleMtn,AS-WW-1,AS-WW-2,Wa-18,WW-EX-1
73,359,268,39,39,14,207,287,12
19,82,359,22,29,341,3,46,18
18,62,29,358,60,38,324,344,240
306,84,350,54,10,4,299,312,5
59,16,314,26,105,334,166,256,10
58,15,356,100,332,16,102,337,7
20,91,336,152,19,1,89,262,350
25,136,36,18,19,286,180,274,299
276,27,254,12,352,342,324,286,304
1,41,311,42,262,21,190,41,272
266,31,348,77,272,10,22,265,267
302,39,316,35,54,54,199,333,226
238,98,140,1,62,3,346,240,214
264,6,279,84,95,116,10,281,252
326,66,338,34,40,25,41,308,270
324,35,271,13,338,344,129,304,80
3,24,49,38,96,29,156,334,355
56,98,22,339,355,0,151,6,34
334,29,161,30,22,59,38,1,342
257,239,265,48,318,285,4,11,356
345,219,330,45,318,321,16,276,71
341,325,281,39,11,346,359,2,309
334,296,269,13,62,129,13,302,326
308,114,97,9,328,36,62,355,341
9,334,302,343,286,357,97,301,339
252,16,263,336,336,46,332,321,345
312,24,236,24,330,70,74,324,312
232,69,309,301,311,290,38,285,328
295,21,266,24,334,349,21,342,18
271,350,328,0,326,15,42,323,354
51,356,4,357,291,145,342,26,
246,2,316,290,72,37,75,4,
329,328,66,219,306,305,326,323,
308,88,67,341,344,52,2,12,
312,340,307,31,300,25,134,309,
340,9,257,91,340,346,209,334,
342,352,334,38,346,5,91,285,
238,19,303,352,57,355,321,319,
225,59,169,38,327,322,,24,
347,84,298,2,29,61,,356,
5,94,202,21,6,34,,246,
,15,259,323,336,320,,46,
,331,57,29,311,91,,308,
,326,1,21,,121,,303,
,21,300,340,,29,,289,
,0,315,28,,346,,0,
,19,306,358,,85,,14,
,46,260,343,,347,,,
,,312,6,,98,,,
,,22,4,,130,,,
,,54,38,,27,,,
,,145,16,,342,,,
,,182,14,,282,,,
,,138,336,,94,,,
,,127,1,,231,,,
,,161,351,,314,,,
,,16,350,,305,,,
,,344,,,9,,,
,,356,,,22,,,
,,337,,,301,,,
,,77,,,311,,,
,,358,,,316,,,
,,14,,,17,,,
,,248,,,,,,
,,201,,,,,,
,,215,,,,,,
,,289,,,,,,
,,32,,,,,,
,,344,,,,,,
,,24,,,,,,
,,46,,,,,,
,,6,,,,,,
,,339,,,,,,
,,326,,,,,,
,,355,,,,,,
,,104,,,,,,
,,2,,,,,,
,,281,,,,,,
,,244,,,,,,
